City,Date,PM2.5,PM10,NO2,CO,O3,SO2,AQI,AQI_Bucket
Ahmedabad,2019-07-06,47.71,100.89,171.04,34.67,21.04,40.63,491.0,Severe
Ahmedabad,2019-07-07,34.72,80.67,148.91,26.15,50.85,32.86,451.0,Severe
Ahmedabad,2019-07-08,37.99,113.3,113.12,35.85,27.37,32.57,500.0,Severe
Ahmedabad,2019-07-09,41.69,120.12,137.36,36.14,27.49,30.42,491.0,Severe
Ahmedabad,2019-07-10,45.31,128.97,157.22,40.51,33.43,31.64,500.0,Severe
Ahmedabad,2019-07-11,43.48,116.84,103.67,37.34,30.35,91.4,500.0,Severe
Ahmedabad,2019-07-12,41.97,109.2,107.17,30.92,34.38,96.35,490.0,Severe
Ahmedabad,2019-07-13,38.49,101.6,117.03,36.22,33.11,103.19,500.0,Severe
Ahmedabad,2019-07-14,41.7,109.85,102.72,24.82,49.25,102.03,469.0,Severe
Ahmedabad,2019-07-15,42.43,116.7,114.44,32.1,38.2,142.27,455.0,Severe
Ahmedabad,2019-07-16,38.99,114.94,103.79,31.97,32.57,156.48,488.0,Severe
Ahmedabad,2019-07-17,34.92,114.11,110.39,30.5,37.07,116.97,500.0,Severe
Ahmedabad,2019-07-18,32.7,105.78,103.72,26.0,45.92,132.41,466.0,Severe
Ahmedabad,2019-07-19,44.65,120.74,135.12,25.34,58.38,104.15,429.0,Severe
Ahmedabad,2019-07-20,51.63,130.55,156.06,27.48,52.03,109.13,459.0,Severe
Ahmedabad,2019-07-21,48.67,104.86,152.96,17.33,76.38,92.83,385.0,Very Poor
Ahmedabad,2019-07-22,37.73,82.63,115.28,13.1,113.3,53.67,309.0,Very Poor
Ahmedabad,2019-07-23,73.98,202.3,168.45,17.81,70.3,35.04,500.0,Severe
Ahmedabad,2019-07-24,52.55,172.36,99.11,27.02,57.81,46.88,482.0,Severe
Ahmedabad,2019-07-25,48.26,165.97,157.23,35.25,29.11,50.5,500.0,Severe
Ahmedabad,2019-07-26,46.8,98.91,32.44,34.26,42.64,57.06,469.0,Severe
Ahmedabad,2019-07-27,39.43,98.23,43.0,26.55,52.09,94.84,413.0,Severe
Ahmedabad,2019-07-28,47.55,100.1,30.99,32.36,47.92,83.52,478.0,Severe
Ahmedabad,2019-07-29,43.84,148.04,42.69,33.11,64.25,70.53,500.0,Severe
Ahmedabad,2019-08-01,47.31,110.65,23.06,50.0,24.93,50.69,500.0,Severe
Ahmedabad,2019-08-02,56.72,139.31,45.13,45.45,28.08,52.12,500.0,Severe
Ahmedabad,2019-08-03,45.43,118.95,30.0,36.56,30.53,41.96,492.0,Severe
Ahmedabad,2019-08-04,37.7,106.26,37.43,25.9,40.88,39.98,464.0,Severe
Ahmedabad,2019-08-05,43.43,153.39,33.44,29.34,43.28,44.51,477.0,Severe
Ahmedabad,2019-08-06,50.53,181.39,57.64,38.94,41.18,39.45,500.0,Severe
Ahmedabad,2019-08-07,60.09,199.34,30.12,40.91,26.52,40.22,500.0,Severe
Ahmedabad,2019-08-08,57.61,195.84,47.73,35.46,37.96,39.76,500.0,Severe
Ahmedabad,2019-08-09,44.1,99.59,72.53,26.54,45.15,42.51,448.0,Severe
Ahmedabad,2019-08-10,22.26,50.03,41.31,28.38,37.92,45.34,440.0,Severe
Ahmedabad,2019-08-11,37.97,95.65,39.57,33.04,34.34,39.94,452.0,Severe
Ahmedabad,2019-08-12,46.3,160.82,47.9,40.24,33.06,41.94,500.0,Severe
Ahmedabad,2019-08-13,41.77,175.24,49.65,28.77,47.71,37.04,467.0,Severe
Ahmedabad,2019-08-14,47.52,184.48,36.01,33.11,41.86,40.95,492.0,Severe
Ahmedabad,2019-08-15,50.55,117.04,52.84,31.12,31.08,39.98,471.0,Severe
Ahmedabad,2019-08-16,27.6,75.1,48.35,33.81,34.06,42.4,500.0,Severe
Ahmedabad,2019-08-17,41.4,143.82,41.39,30.09,42.78,40.05,473.0,Severe
Ahmedabad,2019-08-18,44.46,134.58,73.54,36.78,45.93,37.46,500.0,Severe
Ahmedabad,2019-08-19,39.88,184.17,60.79,34.38,55.36,26.36,500.0,Severe
Ahmedabad,2019-08-20,46.58,138.91,53.62,26.7,61.08,45.91,466.0,Severe
Ahmedabad,2019-08-21,36.44,151.31,60.1,24.36,69.33,40.9,465.0,Severe
Ahmedabad,2019-08-22,45.37,176.7,64.69,24.41,68.52,43.82,462.0,Severe
Ahmedabad,2019-08-23,47.67,182.75,53.56,25.81,57.64,51.27,500.0,Severe
Ahmedabad,2019-08-24,41.31,142.75,55.93,18.93,76.75,37.66,385.0,Very Poor
Ahmedabad,2019-08-25,30.82,119.98,57.44,21.13,69.77,39.97,360.0,Very Poor
Ahmedabad,2019-08-26,45.77,164.31,56.76,36.07,29.03,55.67,500.0,Severe
Ahmedabad,2019-08-27,58.51,142.29,36.67,46.11,24.36,44.52,500.0,Severe
Ahmedabad,2019-08-28,36.1,88.66,46.87,27.22,51.74,40.52,434.0,Severe
Ahmedabad,2019-08-29,38.5,93.7,47.69,37.89,28.61,63.22,500.0,Severe
Ahmedabad,2019-08-30,40.53,118.21,43.33,36.0,32.49,49.29,500.0,Severe
Ahmedabad,2019-08-31,37.05,111.11,48.51,30.71,37.33,46.13,464.0,Severe
Ahmedabad,2019-09-01,31.28,87.45,47.49,24.16,47.56,47.71,420.0,Severe
Ahmedabad,2019-09-02,25.64,69.07,52.47,25.23,44.0,48.58,419.0,Severe
Ahmedabad,2019-09-03,40.18,82.81,49.59,29.4,42.54,50.91,447.0,Severe
Ahmedabad,2019-09-04,39.16,86.22,62.06,16.72,77.97,48.32,401.0,Severe
Ahmedabad,2019-09-05,45.55,69.01,82.99,20.81,73.91,50.79,446.0,Severe
Ahmedabad,2019-09-06,55.43,80.39,81.63,22.28,84.1,50.6,432.0,Severe
Ahmedabad,2019-09-07,35.05,77.28,54.26,25.02,53.43,48.29,454.0,Severe
Ahmedabad,2019-09-08,33.15,59.41,48.34,18.87,57.52,44.03,408.0,Severe
Ahmedabad,2019-09-09,38.7,69.84,61.48,21.33,71.99,53.34,381.0,Very Poor
Ahmedabad,2019-09-10,45.2,69.26,72.02,23.33,39.15,50.39,468.0,Severe
Ahmedabad,2019-09-15,66.21,171.53,44.57,37.54,20.67,68.54,500.0,Severe
Ahmedabad,2019-09-16,38.0,107.96,53.2,23.87,26.28,63.42,495.0,Severe
Ahmedabad,2019-09-17,44.41,102.31,236.79,36.34,32.92,59.59,500.0,Severe
Ahmedabad,2019-09-18,50.66,126.48,94.87,25.45,34.64,33.42,500.0,Severe
Ahmedabad,2019-09-19,73.61,133.78,129.85,31.7,31.11,78.7,500.0,Severe
Ahmedabad,2019-09-20,27.17,55.41,61.34,11.26,42.49,78.36,314.0,Very Poor
Ahmedabad,2019-09-21,39.27,73.22,132.09,17.41,48.66,82.79,386.0,Very Poor
Ahmedabad,2019-09-22,45.4,85.77,128.45,13.26,51.35,90.46,356.0,Very Poor
Ahmedabad,2019-09-23,59.74,108.29,112.62,19.33,43.41,114.51,398.0,Very Poor
Ahmedabad,2019-09-24,58.49,89.47,124.86,18.72,60.11,102.52,476.0,Severe
Ahmedabad,2019-09-25,61.46,103.64,112.12,23.56,60.38,81.76,500.0,Severe
Ahmedabad,2019-09-26,39.34,59.29,96.73,18.91,48.71,90.49,427.0,Severe
Ahmedabad,2019-09-27,28.2,40.35,80.73,18.36,40.22,82.95,466.0,Severe
Ahmedabad,2019-09-28,30.18,48.65,99.02,24.72,34.33,82.66,438.0,Severe
Ahmedabad,2019-09-29,20.71,44.65,79.1,14.94,33.31,107.18,432.0,Severe
Ahmedabad,2019-09-30,21.94,34.95,65.04,11.62,42.88,101.99,322.0,Very Poor
Ahmedabad,2019-10-01,33.66,56.01,92.52,11.85,72.52,137.97,266.0,Poor
Ahmedabad,2019-10-02,51.11,106.2,118.26,21.47,41.28,129.38,430.0,Severe
Ahmedabad,2019-10-03,57.08,126.9,98.77,18.9,43.21,99.59,500.0,Severe
Ahmedabad,2019-10-04,49.88,127.47,101.3,25.05,48.48,120.8,500.0,Severe
Ahmedabad,2019-10-05,57.65,138.99,168.74,49.58,41.05,153.44,500.0,Severe
Ahmedabad,2019-10-06,68.62,117.69,132.77,50.0,68.56,158.04,500.0,Severe
Ahmedabad,2019-10-07,99.81,155.39,162.56,36.34,68.81,146.33,500.0,Severe
Ahmedabad,2019-10-08,73.52,153.75,171.17,45.99,70.66,154.99,500.0,Severe
Ahmedabad,2019-10-09,108.07,195.19,204.06,50.0,67.73,130.56,500.0,Severe
Ahmedabad,2019-10-10,117.13,188.14,199.03,50.0,62.92,134.87,500.0,Severe
Ahmedabad,2019-10-11,70.26,153.84,211.8,34.88,67.9,139.0,500.0,Severe
Ahmedabad,2019-10-12,109.48,212.8,245.62,50.0,54.14,178.58,500.0,Severe
Ahmedabad,2019-10-13,194.36,335.86,207.05,50.0,27.16,48.67,500.0,Severe
Ahmedabad,2019-10-15,96.74,208.83,229.45,50.0,59.05,156.5,500.0,Severe
Ahmedabad,2019-10-16,90.7,188.75,219.01,50.0,77.07,135.76,500.0,Severe
Ahmedabad,2019-10-17,100.06,175.79,239.1,39.85,59.32,134.84,500.0,Severe
Ahmedabad,2019-10-18,109.01,174.56,217.53,40.53,73.44,48.67,500.0,Severe
Ahmedabad,2019-10-19,87.87,154.68,186.56,6.94,93.28,100.46,318.0,Very Poor
Ahmedabad,2019-10-20,89.05,129.36,159.1,5.69,76.58,105.73,228.0,Poor
Ahmedabad,2019-10-21,81.62,118.57,121.02,1.7,114.49,117.2,225.0,Poor
Ahmedabad,2019-10-22,84.9,128.62,108.85,3.67,133.14,113.16,258.0,Poor
Ahmedabad,2019-10-23,46.84,83.85,114.63,6.05,91.42,118.83,249.0,Poor
Ahmedabad,2019-10-24,53.59,106.77,152.09,4.79,116.38,119.97,270.0,Poor
Ahmedabad,2019-10-25,82.74,148.8,186.72,7.26,90.23,133.53,334.0,Very Poor
Ahmedabad,2019-10-26,62.7,108.91,86.91,1.41,162.43,88.46,273.0,Poor
Ahmedabad,2019-10-27,57.54,81.3,72.14,7.32,103.24,120.11,199.0,Moderate
Ahmedabad,2019-10-28,75.12,158.06,68.64,7.95,55.96,106.2,212.0,Poor
Ahmedabad,2019-10-29,37.74,93.24,62.2,7.42,51.34,110.11,200.0,Moderate
Ahmedabad,2019-10-30,20.1,52.97,74.41,16.72,50.0,134.66,305.0,Very Poor
Ahmedabad,2019-10-31,54.57,135.53,115.84,22.31,51.69,129.06,500.0,Severe
Ahmedabad,2019-11-01,63.17,145.88,112.58,9.85,46.54,136.87,362.0,Very Poor
Ahmedabad,2019-11-02,42.27,111.98,87.8,10.87,39.52,129.66,275.0,Poor
Ahmedabad,2019-11-03,33.68,69.15,115.67,23.59,36.66,133.73,351.0,Very Poor
Ahmedabad,2019-11-04,69.31,112.61,175.04,28.8,62.53,136.74,500.0,Severe
Ahmedabad,2019-11-05,84.29,131.73,203.26,17.04,59.57,138.03,346.0,Very Poor
Ahmedabad,2019-11-06,112.08,171.65,192.27,28.47,79.31,120.4,500.0,Severe
Ahmedabad,2019-11-07,56.86,79.47,156.28,15.77,46.86,163.2,358.0,Very Poor
Ahmedabad,2019-11-08,64.96,92.32,157.51,14.87,27.22,174.83,316.0,Very Poor
Ahmedabad,2019-11-09,48.99,107.67,163.7,14.05,38.58,167.13,358.0,Very Poor
Ahmedabad,2019-11-10,68.07,133.46,155.92,9.16,51.38,168.45,282.0,Poor
Ahmedabad,2019-11-11,84.08,170.94,208.92,17.69,49.3,48.67,289.0,Poor
Ahmedabad,2019-11-12,100.47,217.53,292.02,47.92,34.64,48.67,500.0,Severe
Ahmedabad,2019-11-13,88.0,145.34,226.03,18.8,32.59,48.67,500.0,Severe
Ahmedabad,2019-11-14,49.19,116.2,202.95,20.01,27.68,155.16,415.0,Severe
Ahmedabad,2019-11-15,43.56,94.58,121.43,10.3,16.36,145.89,411.0,Severe
Ahmedabad,2019-11-16,70.05,133.55,145.72,28.74,16.41,156.97,433.0,Severe
Ahmedabad,2019-11-17,58.66,78.4,136.69,29.52,16.08,135.46,500.0,Severe
Ahmedabad,2019-11-18,62.15,94.91,147.33,42.34,15.8,143.33,500.0,Severe
Ahmedabad,2019-11-19,52.04,85.17,112.69,39.43,15.84,158.25,500.0,Severe
Ahmedabad,2019-11-20,46.54,93.8,97.74,34.48,16.99,172.68,500.0,Severe
Ahmedabad,2019-11-21,55.43,91.22,109.17,17.98,15.43,157.33,500.0,Severe
Ahmedabad,2019-11-22,55.5,95.86,99.44,17.1,16.02,176.88,356.0,Very Poor
Ahmedabad,2019-11-23,58.97,104.2,106.63,19.45,14.99,132.97,477.0,Severe
Ahmedabad,2019-11-24,60.38,98.67,98.24,17.72,16.21,137.97,443.0,Severe
Ahmedabad,2019-11-25,73.87,106.75,110.17,20.3,15.31,127.11,378.0,Very Poor
Ahmedabad,2019-11-26,64.06,101.44,92.88,16.8,30.45,139.64,441.0,Severe
Ahmedabad,2019-11-27,53.91,108.89,98.4,11.11,46.08,142.7,411.0,Severe
Ahmedabad,2019-11-28,38.15,89.99,140.56,7.78,40.11,166.39,236.0,Poor
Ahmedabad,2019-11-29,48.47,87.26,103.61,5.55,44.3,186.08,212.0,Poor
Ahmedabad,2019-11-30,46.95,86.39,86.67,8.07,41.06,147.78,199.0,Moderate
Ahmedabad,2019-12-01,43.06,79.08,81.68,5.26,42.68,137.18,248.0,Poor
Ahmedabad,2019-12-02,46.74,76.39,60.49,4.02,48.16,112.45,192.0,Moderate
Ahmedabad,2019-12-03,41.61,83.5,54.14,3.87,57.81,123.27,134.0,Moderate
Ahmedabad,2019-12-04,77.66,99.48,62.09,4.32,51.79,93.11,140.0,Moderate
Ahmedabad,2019-12-05,65.48,121.86,82.62,7.8,42.3,66.09,197.0,Moderate
Ahmedabad,2019-12-06,64.87,122.33,71.51,14.15,47.75,36.29,344.0,Very Poor
Ahmedabad,2019-12-07,93.24,157.33,83.89,9.08,53.07,36.22,276.0,Poor
Ahmedabad,2019-12-08,92.26,135.81,76.33,12.09,53.65,31.8,293.0,Poor
Ahmedabad,2019-12-09,78.95,123.59,54.51,12.83,54.56,41.87,329.0,Very Poor
Ahmedabad,2019-12-10,86.88,143.98,35.11,26.73,35.3,58.5,458.0,Severe
Ahmedabad,2019-12-11,72.3,118.19,24.48,26.27,32.36,54.58,500.0,Severe
Ahmedabad,2019-12-12,62.39,116.84,14.9,14.39,24.18,60.87,500.0,Severe
Ahmedabad,2019-12-13,52.59,92.57,11.32,6.92,23.94,25.09,242.0,Poor
Ahmedabad,2019-12-14,63.33,99.3,14.79,4.66,24.07,29.4,157.0,Moderate
Ahmedabad,2019-12-15,48.58,93.92,12.0,2.56,27.73,20.56,177.0,Moderate
Ahmedabad,2019-12-16,45.47,89.73,20.62,5.2,30.45,18.8,145.0,Moderate
Ahmedabad,2019-12-17,54.42,102.4,25.45,5.67,29.22,26.19,237.0,Poor
Ahmedabad,2019-12-18,72.45,116.1,25.88,8.84,24.83,29.77,231.0,Poor
Ahmedabad,2019-12-19,89.97,155.63,28.82,28.91,18.76,39.43,391.0,Very Poor
Ahmedabad,2019-12-20,104.25,163.95,23.33,29.17,15.46,35.42,500.0,Severe
Ahmedabad,2019-12-21,64.25,121.71,34.29,10.97,12.43,73.34,206.0,Poor
Ahmedabad,2019-12-22,60.17,104.08,18.36,3.75,8.94,39.26,170.0,Moderate
Ahmedabad,2019-12-23,57.99,97.02,17.47,2.2,6.35,52.32,113.0,Moderate
Ahmedabad,2019-12-24,49.63,95.51,19.99,1.89,4.87,79.47,113.0,Moderate
Ahmedabad,2019-12-25,53.0,98.1,20.11,4.07,5.4,69.13,166.0,Moderate
Ahmedabad,2019-12-26,52.77,95.25,31.26,6.64,10.61,50.74,216.0,Poor
Ahmedabad,2019-12-27,39.89,83.69,50.41,17.34,19.03,53.83,381.0,Very Poor
Ahmedabad,2019-12-28,43.95,85.68,45.51,11.4,19.15,73.27,288.0,Poor
Ahmedabad,2019-12-29,53.52,89.41,43.92,30.94,23.66,49.84,398.0,Very Poor
Ahmedabad,2019-12-30,69.1,115.57,45.08,34.49,23.67,68.73,500.0,Severe
Ahmedabad,2019-12-31,74.18,126.67,22.77,6.36,23.67,95.2,385.0,Very Poor
Ahmedabad,2020-01-01,79.57,131.62,12.64,3.78,23.67,27.7,216.0,Poor
Ahmedabad,2020-01-02,72.59,128.86,14.38,3.63,23.67,23.96,162.0,Moderate
Ahmedabad,2020-01-03,69.54,128.99,15.13,7.06,23.66,35.78,220.0,Poor
Ahmedabad,2020-01-04,66.2,138.47,20.79,8.97,23.65,38.98,254.0,Poor
Ahmedabad,2020-01-05,55.99,110.41,15.34,5.41,23.61,45.83,255.0,Poor
Ahmedabad,2020-01-06,46.96,109.44,16.88,7.17,23.64,38.11,175.0,Moderate
Ahmedabad,2020-01-07,70.06,161.09,22.67,7.37,23.58,58.67,285.0,Poor
Ahmedabad,2020-01-08,61.4,118.44,16.33,2.38,23.59,30.54,157.0,Moderate
Ahmedabad,2020-01-09,38.89,93.4,14.14,2.41,23.64,46.78,129.0,Moderate
Ahmedabad,2020-01-10,56.14,108.83,11.65,2.5,23.58,26.75,129.0,Moderate
Ahmedabad,2020-01-11,59.96,109.98,14.37,2.38,23.58,45.44,114.0,Moderate
Ahmedabad,2020-01-12,83.9,152.94,20.66,8.81,23.56,58.01,212.0,Poor
Ahmedabad,2020-01-13,89.34,143.84,19.05,8.08,23.69,62.71,368.0,Very Poor
Ahmedabad,2020-01-14,39.83,44.53,16.42,3.26,23.62,25.78,189.0,Moderate
Ahmedabad,2020-01-15,53.27,90.4,16.01,3.59,23.66,19.5,142.0,Moderate
Ahmedabad,2020-01-16,40.07,79.32,13.41,3.75,23.6,10.67,152.0,Moderate
Ahmedabad,2020-01-17,80.24,219.84,15.61,20.06,23.62,36.88,334.0,Very Poor
Ahmedabad,2020-01-18,59.51,106.43,25.39,24.98,23.57,71.69,500.0,Severe
Ahmedabad,2020-01-19,36.05,79.23,22.26,13.05,23.6,46.67,375.0,Very Poor
Ahmedabad,2020-01-20,36.21,82.86,15.65,20.86,23.6,44.86,384.0,Very Poor
Ahmedabad,2020-01-21,51.15,123.03,25.32,33.0,23.61,84.52,500.0,Severe
Ahmedabad,2020-01-22,51.32,121.82,23.56,20.18,23.6,50.3,449.0,Severe
Ahmedabad,2020-01-23,38.71,88.47,16.11,10.39,23.56,34.63,483.0,Severe
Ahmedabad,2020-01-28,18.03,66.54,18.02,11.31,30.29,35.39,289.0,Poor
Ahmedabad,2020-01-29,28.77,73.99,21.98,20.76,32.37,40.13,204.0,Poor
Ahmedabad,2020-01-30,41.74,92.88,26.88,36.07,30.37,100.04,500.0,Severe
Ahmedabad,2020-01-31,57.28,109.84,50.06,36.16,34.61,83.08,500.0,Severe
Ahmedabad,2020-02-01,88.79,125.19,54.23,15.2,45.39,56.67,483.0,Severe
Ahmedabad,2020-02-02,52.31,97.67,38.28,9.38,26.07,36.8,336.0,Very Poor
Ahmedabad,2020-02-03,68.19,106.14,45.94,10.08,43.72,31.18,272.0,Poor
Ahmedabad,2020-02-04,80.59,127.97,59.9,29.48,41.9,48.18,500.0,Severe
Ahmedabad,2020-02-05,77.56,137.39,59.03,30.93,36.15,59.11,500.0,Severe
Ahmedabad,2020-02-06,56.5,121.52,55.49,6.1,41.16,51.41,387.0,Very Poor
Ahmedabad,2020-02-07,66.87,127.71,53.47,23.75,53.97,47.32,322.0,Very Poor
Ahmedabad,2020-02-08,95.25,160.18,54.77,14.56,68.81,55.99,500.0,Severe
Ahmedabad,2020-02-09,69.85,124.4,40.74,6.25,44.3,27.16,215.0,Poor
Ahmedabad,2020-02-10,64.94,116.45,47.28,8.62,71.69,31.84,223.0,Poor
Ahmedabad,2020-02-11,79.58,145.12,55.78,12.48,42.4,48.28,340.0,Very Poor
Ahmedabad,2020-02-12,83.67,164.2,56.27,27.61,44.73,52.9,475.0,Severe
Ahmedabad,2020-02-13,88.83,182.12,45.43,50.0,51.73,40.9,500.0,Severe
Ahmedabad,2020-02-14,50.55,116.51,57.55,18.72,31.28,54.6,412.0,Severe
Ahmedabad,2020-02-15,73.04,136.02,67.15,24.78,53.88,57.08,480.0,Severe
Ahmedabad,2020-02-16,59.47,124.36,63.11,14.28,76.89,66.39,388.0,Very Poor
Ahmedabad,2020-02-17,62.48,147.78,50.12,43.22,63.76,57.29,500.0,Severe
Ahmedabad,2020-02-18,85.33,163.52,54.08,50.0,75.45,64.71,500.0,Severe
Ahmedabad,2020-02-19,114.79,217.94,80.38,42.62,43.63,118.91,500.0,Severe
Ahmedabad,2020-02-20,65.74,164.24,70.75,22.33,50.08,72.14,493.0,Severe
Ahmedabad,2020-02-21,60.61,133.31,52.78,10.49,38.67,52.84,407.0,Severe
Ahmedabad,2020-02-22,36.35,97.03,52.87,4.78,52.15,42.9,168.0,Moderate
Ahmedabad,2020-02-23,54.06,104.74,51.33,4.22,39.74,48.07,219.0,Poor
Ahmedabad,2020-02-24,68.68,141.39,74.32,10.92,44.44,42.37,282.0,Poor
Ahmedabad,2020-02-25,73.18,193.22,94.67,31.41,46.23,62.73,500.0,Severe
Ahmedabad,2020-02-26,137.81,242.98,124.33,50.0,37.79,103.5,500.0,Severe
Ahmedabad,2020-02-27,94.27,177.11,92.35,50.0,52.7,68.76,500.0,Severe
Ahmedabad,2020-02-28,79.68,169.52,91.2,50.0,50.27,64.67,500.0,Severe
Ahmedabad,2020-02-29,53.86,136.6,75.13,17.8,52.74,64.67,421.0,Severe
Ahmedabad,2020-03-01,53.06,123.32,59.64,22.34,41.7,70.8,475.0,Severe
Ahmedabad,2020-03-02,56.2,149.92,62.85,23.13,34.18,81.42,500.0,Severe
Ahmedabad,2020-03-03,77.58,155.65,60.32,21.26,39.83,119.95,460.0,Severe
Ahmedabad,2020-03-04,49.16,125.88,31.08,7.4,45.99,51.07,246.0,Poor
Ahmedabad,2020-03-05,43.75,115.5,24.16,8.43,38.62,63.99,261.0,Poor
Ahmedabad,2020-03-06,54.05,128.08,28.74,10.7,45.82,61.9,308.0,Very Poor
Ahmedabad,2020-03-07,51.32,140.9,41.31,12.19,64.01,45.6,359.0,Very Poor
Ahmedabad,2020-03-08,35.04,85.35,45.21,7.87,44.3,32.78,325.0,Very Poor
Ahmedabad,2020-03-09,37.02,90.26,32.91,5.55,67.75,42.98,170.0,Moderate
Ahmedabad,2020-03-10,37.67,94.36,17.52,2.28,16.92,26.68,116.0,Moderate
Ahmedabad,2020-03-11,31.12,80.79,21.51,3.56,16.68,19.43,152.0,Moderate
Ahmedabad,2020-03-12,41.19,114.05,31.18,6.04,44.3,40.38,218.0,Poor
